"year","state","species","value_imputed_gdp_adjusted","nmfs_region"
2020,"Connecticut","HERRING, ATLANTIC",14399.73,"S. New England"
2020,"Connecticut","HERRING, BLUEBACK",3.52,"S. New England"
2020,"Connecticut","JACK, CREVALLE",7.04,"S. New England"
2020,"Connecticut","KILLIFISHES **",5597.99,"S. New England"
2020,"Connecticut","KINGFISH, NORTHERN",110.87,"S. New England"
2020,"Connecticut","KINGFISHES **",4241.17,"S. New England"
2020,"Connecticut","LIZARDFISH, INSHORE",1.76,"S. New England"
2020,"Connecticut","LOBSTER, AMERICAN",727168.98,"S. New England"
2020,"Connecticut","MACKEREL, ATLANTIC",2643.25,"S. New England"
2020,"Connecticut","MACKEREL, ATLANTIC CHUB",8.8,"S. New England"
2020,"Connecticut","MACKEREL, SPANISH",76.55,"S. New England"
2020,"Connecticut","MENHADENS **",44726.7,"S. New England"
2020,"Connecticut","MULLETS **",539.38,"S. New England"
2020,"Connecticut","MUMMICHOG",975.82,"S. New England"
2020,"Connecticut","OPAH",316.77,"S. New England"
2020,"Connecticut","PERCH, WHITE",23126.67,"S. New England"
2020,"Connecticut","POLLOCK",12.32,"S. New England"
2020,"Connecticut","PUFFER, NORTHERN",46.64,"S. New England"
2020,"Connecticut","PUFFERS, TETRAODONTIDAE (FAMILY) **",5.28,"S. New England"
2020,"Connecticut","REDFISH, ACADIAN",1.76,"S. New England"
2020,"Connecticut","RIBBONFISHES **",7.04,"S. New England"
2020,"Connecticut","SCALLOP, SEA",12165167.01,"S. New England"
2020,"Connecticut","SCUP",677887.86,"S. New England"
2020,"Connecticut","SEAROBIN, STRIPED",4.4,"S. New England"
2020,"Connecticut","SEAROBINS **",740,"S. New England"
2020,"Connecticut","SEATROUT, SPOTTED",58.07,"S. New England"
2020,"Connecticut","SHAD, AMERICAN",35265.03,"S. New England"
2020,"Connecticut","SHAD, GIZZARD",19.36,"S. New England"
2020,"Connecticut","SHAD, HICKORY",550.82,"S. New England"
2020,"Connecticut","SHARK, DOGFISH, SMOOTH",16110.27,"S. New England"
2020,"Connecticut","SHARK, DOGFISH, SPINY",2628.29,"S. New England"
2020,"Connecticut","SHRIMPS **",5466.88,"S. New England"
2020,"Connecticut","SHRIMPS, MANTIS **",615.06,"S. New England"
2020,"Connecticut","SILVERSIDE, ATLANTIC",3896.24,"S. New England"
2020,"Connecticut","SKATE, BARNDOOR",150.46,"S. New England"
2020,"Connecticut","SKATE, CLEARNOSE",1735.18,"S. New England"
2020,"Connecticut","SKATE, LITTLE",36938.62,"S. New England"
2020,"Connecticut","SKATE, SMOOTH",3655.15,"S. New England"
2020,"Connecticut","SKATE, WINTER",160062.65,"S. New England"
2020,"Connecticut","SKATES, RAJIDAE (FAMILY) **",182209.1,"S. New England"
2020,"Connecticut","SQUID, LONGFIN LOLIGO",1089921.51,"S. New England"
2020,"Connecticut","SWORDFISH",35082.01,"S. New England"
2020,"Connecticut","TAUTOG",40611.36,"S. New England"
2020,"Connecticut","TILEFISH, GOLDEN",1187.88,"S. New England"
2020,"Connecticut","TOADFISHES, BATRACHOIDIDAE (FAMILY) **",0.88,"S. New England"
2020,"Connecticut","TRIGGERFISHES **",113.51,"S. New England"
2020,"Connecticut","TUNA, BIGEYE",49356.79,"S. New England"
2020,"Connecticut","WEAKFISH",10681.23,"S. New England"
2020,"Connecticut","WHELK, CHANNELED",170303.04,"S. New England"
2020,"Connecticut","WHELK, KNOBBED",5836.44,"S. New England"
2020,"Connecticut","WINDOWPANE",6939.85,"S. New England"
2020,"Delaware","BASS, BLACK SEA",377856.19,"Mid Atlantic"
2020,"Delaware","BASS, STRIPED",420318.88,"Mid Atlantic"
2020,"Delaware","CARP, COMMON",2264.89,"Mid Atlantic"
2020,"Delaware","CATFISH, CHANNEL",1362.1,"Mid Atlantic"
2020,"Delaware","CLAM, QUAHOG, NORTHERN",36868.22,"Mid Atlantic"
2020,"Delaware","CRAB, BLUE",6867645.71,"Mid Atlantic"
2020,"Delaware","CRAB, HORSESHOE",192176.72,"Mid Atlantic"
2020,"Delaware","EEL, AMERICAN",5034.84,"Mid Atlantic"
2020,"Delaware","FLOUNDER, SUMMER",1636.63,"Mid Atlantic"
2020,"Delaware","LOBSTER, AMERICAN",75188.3,"Mid Atlantic"
2020,"Delaware","MENHADEN, ATLANTIC",14065.36,"Mid Atlantic"
2020,"Delaware","OYSTER, EASTERN",412882.76,"Mid Atlantic"
2020,"Delaware","SHAD, AMERICAN",448.75,"Mid Atlantic"
2020,"Delaware","SHAD, GIZZARD",183.9,"Mid Atlantic"
2020,"Delaware","WHELK, KNOBBED",229439.15,"Mid Atlantic"
2020,"Delaware","BLUEFISH",11743.87,"Mid Atlantic"
2020,"Delaware","CRAB, ATLANTIC ROCK",487.69,"Mid Atlantic"
2020,"Delaware","CRAB, JONAH",3354.74,"Mid Atlantic"
2020,"Delaware","CROAKER, ATLANTIC",1601.54,"Mid Atlantic"
2020,"Delaware","CUNNER",13.07,"Mid Atlantic"
2020,"Delaware","DRUM, BLACK",1389.53,"Mid Atlantic"
2020,"Delaware","EEL, CONGER",4684.33,"Mid Atlantic"
2020,"Delaware","HAKE, RED",500.41,"Mid Atlantic"
2020,"Delaware","HAKES, RED AND WHITE **",68.8,"Mid Atlantic"
2020,"Delaware","KINGFISH, NORTHERN",62.35,"Mid Atlantic"
2020,"Delaware","MACKEREL, SPANISH",6.88,"Mid Atlantic"
2020,"Delaware","MENHADENS **",3212.19,"Mid Atlantic"
2020,"Delaware","PERCH, WHITE",15098.9,"Mid Atlantic"
2020,"Delaware","SCALLOP, SEA",43383.38,"Mid Atlantic"
2020,"Delaware","SCUP",0.79,"Mid Atlantic"
2020,"Delaware","SEATROUT, SPOTTED",0.38,"Mid Atlantic"
2020,"Delaware","SHEEPSHEAD",1.71,"Mid Atlantic"
2020,"Delaware","SPOT",12003.93,"Mid Atlantic"
2020,"Delaware","TAUTOG",619.84,"Mid Atlantic"
2020,"Delaware","TRIGGERFISH, GRAY",18.62,"Mid Atlantic"
2020,"Delaware","TRIGGERFISHES **",4.82,"Mid Atlantic"
2020,"Delaware","WEAKFISH",143015.16,"Mid Atlantic"
2020,"Delaware","WHELK, CHANNELED",49488.91,"Mid Atlantic"
2020,"Maine","CLAM, QUAHOG, NORTHERN",2425568.42,"N. New England"
2020,"Maine","CLAM, QUAHOG, OCEAN",540071.1,"N. New England"
2020,"Maine","CLAM, RAZOR, ATLANTIC",49978.88,"N. New England"
2020,"Maine","CLAM, SOFT",14026962.2,"N. New England"
2020,"Maine","COD, ATLANTIC",131849.22,"N. New England"
2020,"Maine","CRAB, ATLANTIC ROCK",561774.95,"N. New England"
2020,"Maine","CRAB, JONAH",331704.03,"N. New England"
2020,"Maine","CUSK",1956.92,"N. New England"
2020,"Maine","FLOUNDER, AMERICAN PLAICE",123717.09,"N. New England"
2020,"Maine","FLOUNDER, WITCH",108040.62,"N. New England"
2020,"Maine","GOOSEFISH",276789.74,"N. New England"
2020,"Maine","HADDOCK",290541.85,"N. New England"
2020,"Maine","HAKE, WHITE",327456.71,"N. New England"
2020,"Maine","HALIBUT, ATLANTIC",164102.32,"N. New England"
2020,"Maine","HERRING, ATLANTIC",3747864.46,"N. New England"
2020,"Maine","LOBSTER, AMERICAN",363057135.19,"N. New England"
2020,"Maine","MACKEREL, ATLANTIC",308917.01,"N. New England"
2020,"Maine","MENHADENS **",2465320.11,"N. New England"
2020,"Maine","MUSSEL, SEA",2447779.11,"N. New England"
2020,"Maine","OYSTER, EASTERN",5252983.77,"N. New England"
2020,"Maine","OYSTER, EDIBLE",50296.53,"N. New England"
2020,"Maine","PERIWINKLES, ATLANTIC **",261532.98,"N. New England"
2020,"Maine","POLLOCK",485179.68,"N. New England"
2020,"Maine","POLYCHAETE, BLOODWORMS",5971220.79,"N. New England"
2020,"Maine","REDFISH, ACADIAN",25740.88,"N. New England"
2020,"Maine","SCALLOP, SEA",6617057.05,"N. New England"
2020,"Maine","SEAWEED, ROCKWEED",660676.83,"N. New England"
2020,"Maine","SQUID, SHORTFIN ILLEX",1255.63,"N. New England"
2020,"Maine","TUNA, BLUEFIN",1719560.4,"N. New England"
2020,"Maine","URCHIN, GREEN SEA, (S. DROEBACHIENSIS)",3401040.05,"N. New England"
2020,"Maine","ALEWIFE",903895.64,"N. New England"
2020,"Maine","BASS, BLACK SEA",4776.44,"N. New England"
2020,"Maine","BLUEFISH",64222.3,"N. New England"
2020,"Maine","CLAM, SURF, ATLANTIC",671401.27,"N. New England"
2020,"Maine","CRAB, GREEN",285.85,"N. New England"
2020,"Maine","CRABS, BRACHYURA **",500406.61,"N. New England"
2020,"Maine","EEL, AMERICAN",13708846.51,"N. New England"
2020,"Maine","FLOUNDER, WINTER",1977093.85,"N. New England"
2020,"Maine","FLOUNDER, YELLOWTAIL",3176857.99,"N. New England"
2020,"Maine","HAGFISHES **",2389282.53,"N. New England"
2020,"Maine","HAKE, RED",82575.54,"N. New England"
2020,"Maine","HAKE, SILVER",1676936.44,"N. New England"
2020,"Maine","HERRINGS **",424233.26,"N. New England"
2020,"Maine","POLYCHAETE, SANDWORMS **",9093333.66,"N. New England"
2020,"Maine","SALMON, ATLANTIC",3021.87,"N. New England"
2020,"Maine","SCALLOP, BAY",127913.99,"N. New England"
2020,"Maine","SEAWEED **",48861.8,"N. New England"
2020,"Maine","SEAWEED, ROCKWEEDS **",3713928.76,"N. New England"
2020,"Maine","SQUID, LONGFIN LOLIGO",2897653.63,"N. New England"
2020,"Maine","WHELK, WAVED",64368.75,"N. New England"
2020,"Maryland","BASS, BLACK SEA",761340.28,"Mid Atlantic"
2020,"Maryland","BASS, STRIPED",4669449.53,"Mid Atlantic"
2020,"Maryland","BLUEFISH",10037.13,"Mid Atlantic"
2020,"Maryland","BUTTERFISH",1233.63,"Mid Atlantic"
2020,"Maryland","CATFISH, BLUE",762850.2,"Mid Atlantic"
2020,"Maryland","CATFISH, FLATHEAD",10842.25,"Mid Atlantic"
2020,"Maryland","CATFISH, WHITE",999.58,"Mid Atlantic"
2020,"Maryland","CATFISHES, BULLHEAD **",1093.73,"Mid Atlantic"
2020,"Maryland","CLAM, SOFT",25825.36,"Mid Atlantic"
2020,"Maryland","CRAB, BLUE",36736576.97,"Mid Atlantic"
2020,"Maryland","CRAB, HORSESHOE",57446.68,"Mid Atlantic"
2020,"Maryland","CRAB, JONAH",34659.65,"Mid Atlantic"
2020,"Maryland","CRAB, RED DEEPSEA",26293.47,"Mid Atlantic"
2020,"Maryland","CRAPPIES **",6963.61,"Mid Atlantic"
2020,"Maryland","CROAKER, ATLANTIC",2478.71,"Mid Atlantic"
2020,"Maryland","DRUM, BLACK",3585.63,"Mid Atlantic"
2020,"Maryland","FLOUNDER, SUMMER",381218.32,"Mid Atlantic"
2020,"Maryland","GOOSEFISH",3326.06,"Mid Atlantic"
2020,"Maryland","HAKE, RED",71.27,"Mid Atlantic"
2020,"Maryland","LOBSTER, AMERICAN",71683.62,"Mid Atlantic"
2020,"Maryland","MACKEREL, ATLANTIC",736.48,"Mid Atlantic"
2020,"Maryland","MACKEREL, SPANISH",8223.64,"Mid Atlantic"
2020,"Maryland","MENHADENS **",850210.3,"Mid Atlantic"
2020,"Maryland","OYSTER, EASTERN",8931397.82,"Mid Atlantic"
2020,"Maryland","PERCH, YELLOW",47102.46,"Mid Atlantic"
2020,"Maryland","PUFFER, NORTHERN",49.27,"Mid Atlantic"
2020,"Maryland","SCALLOP, SEA",1504857.98,"Mid Atlantic"
2020,"Maryland","SCUP",39798.32,"Mid Atlantic"
2020,"Maryland","SHAD, GIZZARD",162969.87,"Mid Atlantic"
2020,"Maryland","SHARK, DOGFISH, SMOOTH",21510.28,"Mid Atlantic"
2020,"Maryland","SHARK, DOGFISH, SPINY",56882.66,"Mid Atlantic"
2020,"Maryland","SHARK, MAKO, SHORTFIN",14114.63,"Mid Atlantic"
2020,"Maryland","SHARK, THRESHER",3012.81,"Mid Atlantic"
2020,"Maryland","SKATES, RAJIDAE (FAMILY) **",7034.88,"Mid Atlantic"
2020,"Maryland","SNAKEHEAD, NORTHERN",5148.35,"Mid Atlantic"
2020,"Maryland","SPOT",127526.22,"Mid Atlantic"
2020,"Maryland","SQUID, LONGFIN LOLIGO",3529.32,"Mid Atlantic"
2020,"Maryland","SUNFISHES **",1209.88,"Mid Atlantic"
2020,"Maryland","SWORDFISH",601506.41,"Mid Atlantic"
2020,"Maryland","TILEFISH, BLUELINE",26270.59,"Mid Atlantic"
2020,"Maryland","TILEFISH, GOLDEN",11540.9,"Mid Atlantic"
2020,"Maryland","TILEFISH, GOLDFACE",3108.72,"Mid Atlantic"
2020,"Maryland","TUNA, ALBACORE",6306.31,"Mid Atlantic"
2020,"Maryland","TUNA, BIGEYE",310262.39,"Mid Atlantic"
2020,"Maryland","TUNA, YELLOWFIN",88502.22,"Mid Atlantic"
2020,"Maryland","TURTLES, SNAPPING",1276.75,"Mid Atlantic"
2020,"Maryland","WEAKFISH",2615.09,"Mid Atlantic"
2020,"Maryland","WHELK, CHANNELED",280111.4,"Mid Atlantic"
2020,"Maryland","WHELK, KNOBBED",14216.7,"Mid Atlantic"
2020,"Maryland","ALEWIFE",16908.03,"Mid Atlantic"
2020,"Maryland","AMBERJACKS **",25.08,"Mid Atlantic"
2020,"Maryland","BONITO, ATLANTIC",2485.02,"Mid Atlantic"
2020,"Maryland","CARP, COMMON",9328.49,"Mid Atlantic"
2020,"Maryland","CATFISH, CHANNEL",343200.11,"Mid Atlantic"
2020,"Maryland","CLAM, SURF, ATLANTIC",2556330.46,"Mid Atlantic"
2020,"Maryland","COBIA",253.7,"Mid Atlantic"
2020,"Maryland","CONCHS **",42011.16,"Mid Atlantic"
2020,"Maryland","CRAB, ATLANTIC ROCK",400.34,"Mid Atlantic"
2020,"Maryland","DEALFISH",9.38,"Mid Atlantic"
2020,"Maryland","DOLPHINFISH",5909.98,"Mid Atlantic"
2020,"Maryland","DRUM, RED",460.37,"Mid Atlantic"
2020,"Maryland","EEL, AMERICAN",211735.39,"Mid Atlantic"
2020,"Maryland","EEL, CONGER",562.91,"Mid Atlantic"
2020,"Maryland","FLOUNDER, AMERICAN PLAICE",547.38,"Mid Atlantic"
2020,"Maryland","GARFISHES **",253.94,"Mid Atlantic"
2020,"Maryland","GARS, SLENDER **",213.8,"Mid Atlantic"
2020,"Maryland","HAKE, SILVER",1286.75,"Mid Atlantic"
2020,"Maryland","KINGFISH, NORTHERN",843.96,"Mid Atlantic"
2020,"Maryland","KINGFISHES **",375.36,"Mid Atlantic"
2020,"Maryland","MACKEREL, KING",56.43,"Mid Atlantic"
2020,"Maryland","MINNOWS **",2081.44,"Mid Atlantic"
2020,"Maryland","MULLET, STRIPED",204.4,"Mid Atlantic"
2020,"Maryland","MULLETS **",56.96,"Mid Atlantic"
2020,"Maryland","OPAH",316.98,"Mid Atlantic"
2020,"Maryland","PERCH, WHITE",303829.25,"Mid Atlantic"
2020,"Maryland","SEATROUT, SPOTTED",4225.13,"Mid Atlantic"
2020,"Maryland","SHAD, AMERICAN",38226.79,"Mid Atlantic"
2020,"Maryland","SHEEPSHEAD",76.52,"Mid Atlantic"
2020,"Maryland","SKATE, WINTER",3217.5,"Mid Atlantic"
2020,"Maryland","SUCKERS **",132.07,"Mid Atlantic"
2020,"Maryland","TAUTOG",1074.8,"Mid Atlantic"
2020,"Maryland","TILEFISH, SAND",1335.74,"Mid Atlantic"
2020,"Maryland","TILEFISHES **",588.6,"Mid Atlantic"
2020,"Maryland","TRIGGERFISHES **",51.82,"Mid Atlantic"
2020,"Maryland","TUNA, BLUEFIN",53875.4,"Mid Atlantic"
2020,"Maryland","TUNA, LITTLE TUNNY",2373.06,"Mid Atlantic"
2020,"Maryland","WAHOO",417.58,"Mid Atlantic"
2020,"Massachusetts","BASS, BLACK SEA",1567142.4,"S. New England"
2020,"Massachusetts","BASS, STRIPED",1495746.52,"S. New England"
2020,"Massachusetts","BLUEFISH",177022.91,"S. New England"
2020,"Massachusetts","BONITO, ATLANTIC",4121.5,"S. New England"
2020,"Massachusetts","BUTTERFISH",58255.31,"S. New England"
2020,"Massachusetts","CLAM, ARK, BLOOD",163665,"S. New England"
2020,"Massachusetts","CLAM, QUAHOG, NORTHERN",3433763.02,"S. New England"
2020,"Massachusetts","CLAM, QUAHOG, OCEAN",6123331.69,"S. New England"
2020,"Massachusetts","CLAM, RAZOR, ATLANTIC",1121182.95,"S. New England"
2020,"Massachusetts","CLAM, SOFT",6198605.34,"S. New England"
2020,"Massachusetts","CLAM, SURF, ATLANTIC",12358363.54,"S. New England"
2020,"Massachusetts","COD, ATLANTIC",2802342.32,"S. New England"
2020,"Massachusetts","CRAB, ATLANTIC ROCK",89621.46,"S. New England"
2020,"Massachusetts","CRAB, GREEN",15486.41,"S. New England"
2020,"Massachusetts","CRAB, HORSESHOE",533836.94,"S. New England"
2020,"Massachusetts","CRAB, JONAH",6156865.06,"S. New England"
2020,"Massachusetts","CUNNER",149.58,"S. New England"
2020,"Massachusetts","CUSK",17548.04,"S. New England"
2020,"Massachusetts","DOLPHINFISH",5090.28,"S. New England"
2020,"Massachusetts","DORY, BUCKLER",7601.54,"S. New England"
2020,"Massachusetts","EEL, CONGER",973.18,"S. New England"
2020,"Massachusetts","FLOUNDER, AMERICAN PLAICE",1962093.48,"S. New England"
2020,"Massachusetts","FLOUNDER, FOURSPOT",537.62,"S. New England"
2020,"Massachusetts","FLOUNDER, SUMMER",1734473.99,"S. New England"
2020,"Massachusetts","FLOUNDER, WINTER",1699080.49,"S. New England"
2020,"Massachusetts","FLOUNDER, WITCH",2532166.87,"S. New England"
2020,"Massachusetts","FLOUNDER, YELLOWTAIL",895758.83,"S. New England"
2020,"Massachusetts","GOOSEFISH",5308309.87,"S. New England"
2020,"Massachusetts","HADDOCK",19126120.13,"S. New England"
2020,"Massachusetts","HAKE, OFFSHORE",425,"S. New England"
2020,"Massachusetts","HAKE, RED",59444.07,"S. New England"
2020,"Massachusetts","HAKE, SILVER",4078415.81,"S. New England"
2020,"Massachusetts","HAKE, WHITE",3072061.1,"S. New England"
2020,"Massachusetts","HALIBUT, ATLANTIC",246834.96,"S. New England"
2020,"Massachusetts","HERRING, ATLANTIC",2144620.23,"S. New England"
2020,"Massachusetts","KINGFISHES **",25644.09,"S. New England"
2020,"Massachusetts","LOBSTER, AMERICAN",68904901.1,"S. New England"
2020,"Massachusetts","MACKEREL, ATLANTIC",2062673.34,"S. New England"
2020,"Massachusetts","MENHADENS **",2582884.87,"S. New England"
2020,"Massachusetts","MUSSEL, SEA",250397.72,"S. New England"
2020,"Massachusetts","OYSTER, EASTERN",16182774.88,"S. New England"
2020,"Massachusetts","POLLOCK",4979422.43,"S. New England"
2020,"Massachusetts","REDFISH, ACADIAN",6210592.36,"S. New England"
2020,"Massachusetts","SCALLOP, BAY",1296662.5,"S. New England"
2020,"Massachusetts","SCALLOP, SEA",276253859.28,"S. New England"
2020,"Massachusetts","SCUP",512397.05,"S. New England"
2020,"Massachusetts","SHARK, DOGFISH, SPINY",1266447.28,"S. New England"
2020,"Massachusetts","SKATE, BARNDOOR",53551.32,"S. New England"
2020,"Massachusetts","SKATE, LITTLE",38679.96,"S. New England"
2020,"Massachusetts","SKATE, WINTER",3064862.56,"S. New England"
2020,"Massachusetts","SNAILS, MOON **",4282.52,"S. New England"
2020,"Massachusetts","SQUID, LONGFIN LOLIGO",1539432.28,"S. New England"
2020,"Massachusetts","SQUID, SHORTFIN ILLEX",5914697.14,"S. New England"
2020,"Massachusetts","SWORDFISH",217952.8,"S. New England"
2020,"Massachusetts","TAUTOG",212959.31,"S. New England"
2020,"Massachusetts","TILEFISH, GOLDEN",5136.03,"S. New England"
2020,"Massachusetts","TRIGGERFISHES **",1581.2,"S. New England"
2020,"Massachusetts","TUNA, ALBACORE",44719.66,"S. New England"
2020,"Massachusetts","TUNA, BIGEYE",309676.37,"S. New England"
2020,"Massachusetts","TUNA, BLUEFIN",3695816.03,"S. New England"
2020,"Massachusetts","TUNA, YELLOWFIN",93067.19,"S. New England"
2020,"Massachusetts","URCHINS, SEA, STRONGYLOCENTROTUS (GENUS) **",51370.9,"S. New England"
2020,"Massachusetts","WAHOO",4290.44,"S. New England"
2020,"Massachusetts","WEAKFISH",276.29,"S. New England"
2020,"Massachusetts","WHELK, CHANNELED",2775888.71,"S. New England"
2020,"Massachusetts","WHELK, KNOBBED",134356.96,"S. New England"
2020,"Massachusetts","CLAM, SURF, ARCTIC",197746.03,"S. New England"
2020,"Massachusetts","CONCHS **",286547.7,"S. New England"
2020,"Massachusetts","CRAB, RED DEEPSEA",2545812.48,"S. New England"
2020,"Massachusetts","CRABS, SPIDER **",59.28,"S. New England"
2020,"Massachusetts","EEL, AMERICAN",114555.53,"S. New England"
2020,"Massachusetts","ESCOLAR",2606.58,"S. New England"
2020,"Massachusetts","GOOSEFISH, BLACKFIN",193.01,"S. New England"
2020,"Massachusetts","HAGFISHES **",957864.06,"S. New England"
2020,"Massachusetts","HAKES, MERLUCCIUS (GENUS) **",70.88,"S. New England"
2020,"Massachusetts","HAKES, RED AND WHITE **",2745.38,"S. New England"
2020,"Massachusetts","HERRINGS **",3538.54,"S. New England"
2020,"Massachusetts","MACKEREL, KING",1977.01,"S. New England"
2020,"Massachusetts","OPAH",672.74,"S. New England"
2020,"Massachusetts","RAVEN, SEA",211.19,"S. New England"
2020,"Massachusetts","SHARK, DOGFISH, SMOOTH",4797.96,"S. New England"
2020,"Massachusetts","SHARK, MAKO, SHORTFIN",47435.9,"S. New England"
2020,"Massachusetts","SHRIMP, NORTHERN",102476.13,"S. New England"
2020,"Massachusetts","SKATES, RAJIDAE (FAMILY) **",1610783,"S. New England"
2020,"Massachusetts","TILEFISH, BLUELINE",65.43,"S. New England"
2020,"Massachusetts","TOADFISHES, BATRACHOIDIDAE (FAMILY) **",1.19,"S. New England"
2020,"Massachusetts","WHELK, WAVED",10488.32,"S. New England"
2020,"New Hampshire","COD, ATLANTIC",159617.42,"N. New England"
2020,"New Hampshire","CRAB, JONAH",17553.32,"N. New England"
2020,"New Hampshire","CUSK",1487.05,"N. New England"
2020,"New Hampshire","FLOUNDER, AMERICAN PLAICE",10554.52,"N. New England"
2020,"New Hampshire","FLOUNDER, WINTER",9227.62,"N. New England"
2020,"New Hampshire","FLOUNDER, WITCH",41687.49,"N. New England"
2020,"New Hampshire","FLOUNDER, YELLOWTAIL",10130.4,"N. New England"
2020,"New Hampshire","GOOSEFISH",161439.71,"N. New England"
2020,"New Hampshire","HADDOCK",252415.35,"N. New England"
2020,"New Hampshire","HAKE, SILVER",52185.7,"N. New England"
2020,"New Hampshire","HALIBUT, ATLANTIC",20168.41,"N. New England"
2020,"New Hampshire","LOBSTER, AMERICAN",23364142.79,"N. New England"
2020,"New Hampshire","POLLOCK",247833.66,"N. New England"
2020,"New Hampshire","REDFISH, ACADIAN",3143.04,"N. New England"
2020,"New Hampshire","SCALLOP, SEA",64133.11,"N. New England"
2020,"New Hampshire","TUNA, BLUEFIN",417793.54,"N. New England"
2020,"New Hampshire","ALEWIFE",10170.92,"N. New England"
2020,"New Hampshire","BUTTERFISH",2072.22,"N. New England"
2020,"New Hampshire","CRAB, ATLANTIC ROCK",36753.73,"N. New England"
2020,"New Hampshire","CRAB, GREEN",17450.2,"N. New England"
2020,"New Hampshire","CRABS, SPIDER **",498.52,"N. New England"
2020,"New Hampshire","HAKE, OFFSHORE",69.83,"N. New England"
2020,"New Hampshire","HAKE, RED",6336.25,"N. New England"
2020,"New Hampshire","HAKE, WHITE",242713.27,"N. New England"
2020,"New Hampshire","HERRING, ATLANTIC",439190.58,"N. New England"
2020,"New Hampshire","MACKEREL, ATLANTIC",14334.1,"N. New England"
2020,"New Hampshire","MENHADENS **",114765.66,"N. New England"
2020,"New Hampshire","SHARK, DOGFISH, SPINY",350345.37,"N. New England"
2020,"New Hampshire","SKATE, WINTER",4625.79,"N. New England"
2020,"New Hampshire","SQUID, LONGFIN LOLIGO",400.04,"N. New England"
2020,"New Hampshire","SQUID, SHORTFIN ILLEX",790.21,"N. New England"
2020,"New Hampshire","TUNA, YELLOWFIN",2323.46,"N. New England"
2020,"New Jersey","BASS, BLACK SEA",2334733.56,"Mid Atlantic"
2020,"New Jersey","BLUEFISH",123286.82,"Mid Atlantic"
2020,"New Jersey","BONITO, ATLANTIC",25121.43,"Mid Atlantic"
2020,"New Jersey","BUTTERFISH",41289.77,"Mid Atlantic"
2020,"New Jersey","COBIA",1113.09,"Mid Atlantic"
2020,"New Jersey","CONCHS **",1562.72,"Mid Atlantic"
2020,"New Jersey","CRAB, ATLANTIC ROCK",9108.83,"Mid Atlantic"
2020,"New Jersey","CRAB, BLUE",8414049.52,"Mid Atlantic"
2020,"New Jersey","CRAB, JONAH",740142.37,"Mid Atlantic"
2020,"New Jersey","DOLPHINFISH",7846.16,"Mid Atlantic"
2020,"New Jersey","DORY, BUCKLER",1298.75,"Mid Atlantic"
2020,"New Jersey","EEL, AMERICAN",113715.16,"Mid Atlantic"
2020,"New Jersey","EEL, CONGER",17261.19,"Mid Atlantic"
2020,"New Jersey","FLOUNDER, SUMMER",4533499.05,"Mid Atlantic"
2020,"New Jersey","FLOUNDER, WINTER",1955.16,"Mid Atlantic"
2020,"New Jersey","GOOSEFISH",785825.53,"Mid Atlantic"
